game_number,winner,player0_net,player1_net,player2_net
0,0,-1,-2,3
1,1,3,1,-4
2,1,545,-2,-543
3,2,-552,435,117
4,2,433,-855,422
5,2,-857,424,433
6,1,434,425,-859
7,2,420,-856,436
8,0,-5312,15317,
9,0,19772,-19772,
10,1,-19769,19769,
11,1,19776,-19776,
12,1,-19783,19783,
13,0,19780,-19780,
14,0,-19780,19780,
15,0,19780,-19780,
16,1,-19777,19777,
17,0,19768,-19768,
18,0,-19768,19768,
19,1,19777,-19777,
20,1,-19777,19777,
21,0,19768,-19768,
22,1,-19759,19759,
23,1,19759,-19759,
24,0,-19762,19762,
25,1,,,
